#SampleID	ERR209679_1_kneaddata_taxonomic_profile	ERR209680_1_kneaddata_taxonomic_profile	ERR209681_1_kneaddata_taxonomic_profile	ERR209684_1_kneaddata_taxonomic_profile	ERR209685_1_kneaddata_taxonomic_profile	ERR209690_1_kneaddata_taxonomic_profile	ERR209691_1_kneaddata_taxonomic_profile	ERR209692_1_kneaddata_taxonomic_profile	ERR209693_1_kneaddata_taxonomic_profile	ERR209695_1_kneaddata_taxonomic_profile	ERR209696_1_kneaddata_taxonomic_profile	ERR209697_1_kneaddata_taxonomic_profile	ERR209698_1_kneaddata_taxonomic_profile	ERR209699_1_kneaddata_taxonomic_profile	ERR209700_1_kneaddata_taxonomic_profile	ERR209701_1_kneaddata_taxonomic_profile	ERR209706_1_kneaddata_taxonomic_profile	ERR209707_1_kneaddata_taxonomic_profile	ERR209708_1_kneaddata_taxonomic_profile	ERR209709_1_kneaddata_taxonomic_profile	ERR209710_1_kneaddata_taxonomic_profile	ERR209711_1_kneaddata_taxonomic_profile	ERR209715_1_kneaddata_taxonomic_profile	ERR209716_1_kneaddata_taxonomic_profile	ERR209717_1_kneaddata_taxonomic_profile	ERR209729_1_kneaddata_taxonomic_profile	ERR209730_1_kneaddata_taxonomic_profile	ERR209731_1_kneaddata_taxonomic_profile	ERR209732_1_kneaddata_taxonomic_profile	ERR209739_1_kneaddata_taxonomic_profile	ERR209740_1_kneaddata_taxonomic_profile	ERR209743_1_kneaddata_taxonomic_profile	ERR209744_1_kneaddata_taxonomic_profile	ERR209745_1_kneaddata_taxonomic_profile	ERR209746_1_kneaddata_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__GCF_000173455	0	0	0	0	0	0	0	0.40067	0.4144	0	0	0	0	0	0	0	0	0	0.69375	0.58383	0	0	0	0	0	0	0	0	0	0.61482	0.64602	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1153	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1153	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	6.31532	0	0	0	0	0.2655	0	2.02515	2.349	1.38299	1.97814	1.45091	8.72444	6.43854	0.09828	0.07179	0	0	1.0745	0.79104	1.15109	0.77967	0.32545	0.05363	0.07954	1.35686	1.27123	7.92225	5.48772	2.72604	2.91434	0	0	0.0969	0.08616
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	6.31532	0	0	0	0	0.2655	0	2.02515	2.349	1.38299	1.97814	1.45091	8.72444	6.43854	0.09828	0.07179	0	0	1.0745	0.79104	1.15109	0.77967	0.32545	0.05363	0.07954	1.35686	1.27123	7.92225	5.48772	2.72604	2.91434	0	0	0.0969	0.08616
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	40.90038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02366	0.01897	8.40776	8.09958	0.43645	0.42469	12.36637	2.25522	2.58802	0	0	0	0	0.13778	0.1559	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435	40.90038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02366	0.01897	8.40776	8.09958	0.43645	0.42469	12.36637	2.25522	2.58802	0	0	0	0	0.13778	0.1559	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0.71091	0	0	0	0	0	0	0.00816	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00992	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0.71091	0	0	0	0	0	0	0.00816	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00992	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__Gardnerella_vaginalis_unclassified	0.71091	0	0	0	0	0	0	0.00816	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00992	0	0	0	0	0	0	0	0	0	0	0	0
